algorithm,n_threads,n_elems,t_random,t_distribute,t_merge,t_sort,t_writeback,t_total,sorted
bs2,1,700000,0.005363,0.057337,0.000000,0.017756,0.009314,0.087955,1
bs2,2,700000,0.002742,0.029730,0.000000,0.009123,0.006134,0.046861,1
bs2,3,700000,0.001886,0.020783,0.000000,0.006227,0.005325,0.033663,1
bs2,4,700000,0.001525,0.016077,0.000000,0.004734,0.004663,0.026517,1
bs2,6,700000,0.001211,0.010991,0.000000,0.003224,0.004028,0.019014,1
bs2,8,700000,0.001059,0.007971,0.000000,0.002463,0.003851,0.015064,1
bs2,10,700000,0.001084,0.006797,0.000000,0.002020,0.003790,0.013147,1
bs2,12,700000,0.000937,0.005485,0.000000,0.001702,0.003797,0.011672,1
bs2,16,700000,0.001028,0.004383,0.000000,0.001420,0.003847,0.010103,1
bs2,20,700000,0.001014,0.003573,0.000000,0.001402,0.004431,0.009826,1
bs2,24,700000,0.001220,0.003028,0.000000,0.001463,0.004579,0.009448,1
bs2,32,700000,0.001290,0.004131,0.000000,0.001562,0.004614,0.010789,1
bs2,48,700000,0.001763,0.003439,0.000000,0.001711,0.004545,0.010184,1
bs2,1,725000,0.005957,0.057007,0.000000,0.018375,0.009968,0.089035,1
bs2,2,725000,0.002960,0.031727,0.000000,0.009392,0.006414,0.049499,1
bs2,3,725000,0.002560,0.020607,0.000000,0.006434,0.005933,0.034361,1
bs2,4,725000,0.001727,0.015962,0.000000,0.004898,0.005240,0.027190,1
bs2,6,725000,0.001338,0.010877,0.000000,0.003326,0.004288,0.019346,1
bs2,8,725000,0.001053,0.008451,0.000000,0.002588,0.004437,0.016132,1
bs2,10,725000,0.001088,0.006822,0.000000,0.002086,0.004446,0.013922,1
bs2,12,725000,0.000992,0.005777,0.000000,0.001814,0.004008,0.012110,1
bs2,16,725000,0.000965,0.004566,0.000000,0.001465,0.003998,0.010708,1
bs2,20,725000,0.001011,0.003798,0.000000,0.001481,0.004203,0.009915,1
bs2,24,725000,0.001125,0.003246,0.000000,0.001522,0.004375,0.009917,1
bs2,32,725000,0.001308,0.004359,0.000000,0.001607,0.004797,0.011274,1
bs2,48,725000,0.001609,0.003351,0.000000,0.001749,0.004802,0.010441,1
bs2,1,750000,0.006160,0.060607,0.000000,0.019104,0.009999,0.093508,1
bs2,2,750000,0.003182,0.031510,0.000000,0.009797,0.007056,0.050390,1
bs2,3,750000,0.002067,0.021941,0.000000,0.006676,0.005853,0.035886,1
bs2,4,750000,0.001768,0.017451,0.000000,0.005078,0.004984,0.028864,1
bs2,6,750000,0.001223,0.011729,0.000000,0.003472,0.004388,0.020523,1
